Points Label,Spine Label,Cluster Center x (nm),Cluster Center y (nm),# Subunits,Area (micron^2),Max Dark Time (s)
GluA1,43,23862.727077933017,36858.813030061654,16.156065906210234,0.5228416605575635,123.8
GluA1,44,40096.517527171265,37140.00106764231,38.30452266501266,0.590055672278178,57.5
GluA1,45,43087.70409133805,38226.88624929476,3.8483972478532094,0.4945158652367551,226.70000000000005
GluA1,46,23794.52907915307,38759.0516551043,26.990124688278872,0.33468101929702526,1454.6000000000001
GluA1,47,33769.325957971225,40108.669052404955,121.88108108108106,1.5569499346711109,37.69999999999993
GluA1,49,40729.15425934328,39622.43529715803,13.013071432187516,0.8284767935525211,123.20000000000005
GluA1,50,16578.25870679988,39966.01420761286,6.352667723190677,0.13006518810557446,918.6
GluA1,52,44217.63048080912,41876.75996930536,13.775293093738801,0.9328577134144919,158.79999999999995
GluA1,53,23439.631951395604,42217.37900068162,2.1413105413105384,0.33638124092113336,654.4000000000001
GluA1,54,25145.921222620727,43212.0746561115,4.79234856535599,0.7198467175997119,361.70000000000005
GluA1,57,29206.331732211678,45437.77564458184,29.85543247174667,0.41438511206676304,263.4
GluA1,62,43556.995287379315,49627.05450329425,14.769603846555734,0.46334210164426043,261.79999999999995
GluA1,66,39821.60681839628,51745.003881861325,0.341739921188239,0.19027042202379146,1318.6999999999998
GluA1,68,7679.375016007078,51735.50599839998,0.7953439153439154,0.22351187447749726,495.6
GluA2,0,5127.04944466659,208.0622084778143,80.67637540453075,1.1048300856896653,17.69999999999999
GluA2,1,3608.212285563187,637.6084425948771,34.41288497116117,0.5094379057401647,39.099999999999994
GluA2,2,9206.50687021389,1226.1822815652679,43.44377293330455,0.43899987120494005,21.900000000000006
GluA2,3,49170.723238246996,4094.9379028482717,43.68142548596112,0.47561389967744166,52.69999999999993
GluA2,4,11302.330420592685,5045.101283374609,118.77977794545649,0.8695655028388254,10.800000000000011
GluA2,5,6142.345963733403,6369.46015815614,31.92938620315046,0.5074523625156804,48.0
GluA2,6,7634.2614893836835,7815.84881556501,57.293811639752896,0.7864038908627196,15.0
GluA2,7,44480.724374079036,8198.94605549881,49.19829842931937,0.5398019337994348,23.600000000000023
GluA2,8,15528.662642457577,8862.248766620334,51.7319342276071,0.7379815982948659,14.599999999999994
GluA2,9,8613.5050588502,9525.19254676112,337.95907377490573,1.408267194714917,3.5
GluA2,10,15065.274635388565,10445.035650358068,92.43578674724797,0.7012323085775473,11.600000000000009
GluA2,11,48041.09592412867,10871.474239828822,124.27568326671707,0.7915275135121416,15.5
GluA2,12,42895.85978452673,10853.557989726214,20.77896786757546,0.5465982082765654,63.0
